dataset,embedding,rejection_method,classifier,num_known,num_unknown,seed,threshold,ACC_known,ACC_unknown,AUROC,OSCR
esc50,clap,class_threshold,energy,40,10,0,"{0: 9.41292667388916, 1: 9.275765419006348, 2: 9.765583038330078, 6: 9.169713020324707, 7: 9.653341293334961, 8: 9.489984512329102, 9: 10.197599411010742, 10: 8.989224433898926, 11: 9.11150074005127, 13: 9.01170539855957, 14: 8.975390434265137, 17: 10.293099403381348, 18: 9.484095573425293, 19: 10.309225082397461, 20: 9.8006591796875, 21: 10.433928489685059, 22: 10.093692779541016, 23: 8.304180145263672, 24: 8.97193431854248, 26: 9.821039199829102, 27: 9.756924629211426, 28: 9.812564849853516, 29: 8.726879119873047, 31: 8.975810050964355, 32: 9.519107818603516, 33: 9.523955345153809, 34: 9.561040878295898, 35: 8.798460006713867, 36: 9.6274995803833, 37: 9.69952392578125, 38: 9.965337753295898, 39: 9.739480018615723, 41: 9.773566246032715, 42: 9.980568885803223, 43: 8.909550666809082, 44: 8.931601524353027, 45: 9.51685619354248, 46: 9.78442096710205, 47: 8.723752975463867, 49: 8.709715843200684}",0.89375,0.975,0.9894921875,0.8925781249999999
esc50,clap,class_threshold,energy,30,20,0,"{0: 8.839858055114746, 1: 8.694463729858398, 2: 9.27307415008545, 6: 8.538941383361816, 7: 9.013707160949707, 8: 9.053179740905762, 10: 8.65330696105957, 13: 8.905900955200195, 17: 9.773530960083008, 19: 9.476567268371582, 20: 9.649386405944824, 21: 9.448958396911621, 22: 9.531039237976074, 23: 8.24548625946045, 24: 7.863714218139648, 26: 9.098490715026855, 27: 8.871244430541992, 29: 8.162692070007324, 31: 8.906234741210938, 33: 9.324463844299316, 34: 9.19068717956543, 36: 9.413985252380371, 37: 9.258867263793945, 38: 9.275535583496094, 39: 9.391712188720703, 41: 8.656608581542969, 43: 8.957964897155762, 44: 8.856207847595215, 46: 9.491230964660645, 47: 8.366487503051758}",0.8916666666666667,0.98125,0.9816666666666667,0.8850651041666664
esc50,clap,class_threshold,energy,20,30,0,"{0: 8.081310272216797, 2: 8.714262962341309, 6: 8.12828254699707, 7: 8.735650062561035, 10: 8.31737232208252, 17: 9.357133865356445, 21: 8.4860200881958, 22: 9.030327796936035, 24: 7.831678867340088, 26: 8.633077621459961, 29: 7.56618595123291, 31: 8.217637062072754, 33: 8.414196968078613, 34: 8.549031257629395, 36: 8.577412605285645, 37: 8.683993339538574, 38: 8.092243194580078, 39: 8.804597854614258, 44: 8.867302894592285, 46: 8.800763130187988}",0.88125,0.95,0.9811979166666668,0.8757682291666666
esc50,clap,class_threshold,energy,15,35,0,"{2: 8.154606819152832, 6: 8.006878852844238, 7: 8.222343444824219, 10: 8.219914436340332, 17: 8.692829132080078, 21: 7.85460901260376, 22: 8.750242233276367, 24: 7.294807434082031, 29: 7.25381326675415, 31: 7.666696071624756, 33: 7.935758590698242, 34: 7.345032691955566, 37: 8.938253402709961, 39: 7.9027509689331055, 44: 8.050189018249512}",0.875,0.9714285714285714,0.9814583333333333,0.8707738095238095
esc50,clap,class_threshold,energy,10,40,0,"{6: 6.950786590576172, 7: 7.705865383148193, 10: 7.363556385040283, 17: 8.098462104797363, 21: 7.587493896484375, 29: 6.7828192710876465, 33: 7.085757732391357, 37: 7.4758782386779785, 39: 7.6269731521606445, 44: 7.713028907775879}",0.925,0.971875,0.9958984375,0.9231835937500001
esc50,clap,class_threshold,openmax,40,10,0,"{0: -10.256546974182129, 1: -8.99550724029541, 2: -11.608553886413574, 6: -8.483293533325195, 7: -11.915536880493164, 8: -9.270624160766602, 9: -8.862862586975098, 10: -11.538864135742188, 11: -9.048646926879883, 13: -11.120370864868164, 14: -12.371878623962402, 17: -8.631509780883789, 18: -7.887552738189697, 19: -9.036576271057129, 20: -10.282882690429688, 21: -9.617130279541016, 22: -10.751495361328125, 23: -12.466407775878906, 24: -9.094696044921875, 26: -10.668441772460938, 27: -9.18783187866211, 28: -9.240478515625, 29: -11.435956954956055, 31: -10.542372703552246, 32: -10.544224739074707, 33: -10.402204513549805, 34: -9.2344331741333, 35: -11.571966171264648, 36: -10.501940727233887, 37: -12.343283653259277, 38: -9.746467590332031, 39: -9.531106948852539, 41: -11.22114086151123, 42: -10.187159538269043, 43: -9.81330394744873, 44: -10.271485328674316, 45: -8.950028419494629, 46: -7.751965045928955, 47: -12.685918807983398, 49: -11.952946662902832}",0.9375,0.8875,0.97390625,0.9337304687500002
esc50,clap,class_threshold,openmax,30,20,0,"{0: -7.463430881500244, 1: -6.711678981781006, 2: -9.998943328857422, 6: -7.539078712463379, 7: -8.865382194519043, 8: -7.3716044425964355, 10: -9.421562194824219, 13: -8.988313674926758, 17: -6.691915035247803, 19: -6.708791255950928, 20: -9.129982948303223, 21: -8.558292388916016, 22: -7.986439228057861, 23: -9.731666564941406, 24: -7.261242866516113, 26: -9.125333786010742, 27: -7.841560363769531, 29: -9.031436920166016, 31: -8.67261028289795, 33: -9.015436172485352, 34: -8.264159202575684, 36: -8.895711898803711, 37: -9.746299743652344, 38: -7.304863452911377, 39: -8.114370346069336, 41: -8.950907707214355, 43: -8.320133209228516, 44: -8.660775184631348, 46: -6.971621036529541, 47: -10.619361877441406}",0.925,0.89375,0.9728385416666666,0.9194140625
esc50,clap,class_threshold,openmax,20,30,0,"{0: -6.233027935028076, 2: -7.344254493713379, 6: -5.514225959777832, 7: -6.746675491333008, 10: -7.016235828399658, 17: -5.749270915985107, 21: -6.1634392738342285, 22: -6.581440448760986, 24: -5.4376749992370605, 26: -7.540647506713867, 29: -7.471266269683838, 31: -6.724404811859131, 33: -7.0080132484436035, 34: -7.024668216705322, 36: -5.682419776916504, 37: -6.910420894622803, 38: -6.268984317779541, 39: -5.170753002166748, 44: -6.415432453155518, 46: -5.741884708404541}",0.9125,0.9791666666666666,0.9696093749999999,0.9057291666666666
esc50,clap,class_threshold,openmax,15,35,0,"{2: -6.295670032501221, 6: -4.87290620803833, 7: -5.496386528015137, 10: -6.346179008483887, 17: -5.517708778381348, 21: -5.606457710266113, 22: -5.402702808380127, 24: -4.772304534912109, 29: -6.425268650054932, 31: -6.090817928314209, 33: -6.403524398803711, 34: -6.393665790557861, 37: -5.618027687072754, 39: -4.822044372558594, 44: -5.3852458000183105}",0.9083333333333333,0.9571428571428572,0.9619940476190476,0.8995386904761904
esc50,clap,class_threshold,openmax,10,40,0,"{6: -3.7438676357269287, 7: -4.569611072540283, 10: -4.7387518882751465, 17: -4.329397201538086, 21: -3.5474040508270264, 29: -4.6169867515563965, 33: -5.5951457023620605, 37: -4.648437976837158, 39: -3.498368978500366, 44: -4.953202724456787}",0.975,0.94375,0.9913671875,0.9688671875000002
esc50,audiotovector,global_threshold,cosine,40,10,0,0.605023205280304,0.078125,0.0,0.5272265624999999,0.03791015625
esc50,audiotovector,global_threshold,cosine,30,20,0,0.605023205280304,0.11666666666666667,0.0,0.5066406250000001,0.05627604166666666
esc50,audiotovector,global_threshold,cosine,20,30,0,0.605023205280304,0.1625,0.0,0.5305208333333333,0.08041666666666666
